graph_size,graph_dimension,num_trials,runtime_secs,weight
128,0,5,0,1.2667851420373935
256,0,5,0,1.1599179850571564
512,0,5,0,1.191691081841825
1024,0,5,0,1.1963874841951898
2048,0,5,0,1.2062186967395263
4096,0,5,0,1.1986888577415864
8192,0,5,3,1.205381167969479
16384,0,5,68,1.2056544022438842
128,2,5,0,7.489021866829242
256,2,5,0,10.58960113844957
512,2,5,0,14.93931958070397
1024,2,5,0,21.21742611029469
2048,2,5,0,29.59373123128041
4096,2,5,0,41.7753993748574
8192,2,5,3,58.885164227296954
16384,2,5,73,83.34470421258435
128,3,5,0,16.984177860248998
256,3,5,0,27.463125906414852
512,3,5,0,43.87237268045151
1024,3,5,0,68.30725910847646
2048,3,5,0,107.33733787815906
4096,3,5,1,168.52217113767628
8192,3,5,4,268.03332502429515
16384,3,5,84,422.3247686569777
128,4,5,0,28.183210264940264
256,4,5,0,47.37938075056612
512,4,5,0,77.9403921945824
1024,4,5,0,129.94288861899108
2048,4,5,0,216.4356634551488
4096,4,5,1,360.84734447472067
8192,4,5,5,603.3989571453668
16384,4,5,78,1008.9131932347942
